Entidad Federativa,1990,1995,2000
Aguascalientes,147,182,210
Baja California a,327,300,303
Baja California Sur,228,278,437
Campeche,124,136,107
Coahuila de Zaragoza a,179,150,145
Colima,252,149,135
Chiapas,42,42,57
Chihuahua a,227,233,266
Distrito Federal,240,251,292
Durango,98,129,114
Guanajuato,72,104,129
Guerrero,46,87,112
Hidalgo,75,114,163
Jalisco,127,170,206
México,95,46,97
Michoacán de Ocampo,79,110,172
Morelos,175,147,142
Nayarit,78,99,128
Nuevo León,153,187,249
Oaxaca,37,38,54
Puebla,86,83,103
Querétaro,87,113,164
Quintana Roo,102,100,162
San Luis Potosí,74,100,144
Sinaloa,114,144,152
Sonora a,164,70,232
Tabasco,68,110,99
Tamaulipas a,196,190,267
Tlaxcala,85,66,101
Veracruz de Ignacio de la Llave,69,59,89
Yucatán,108,103,129
Zacatecas,112,138,197
